type,document_id,invention_title,ipc_main,gold_mno,candidate_mno,anchor_p,weakest_model_p,lift_to_gold,same_lno
missing_label(누락 후보),kr20130075534a,,,EH12,EH15,0.955,0.818,113.95,1
missing_label(누락 후보),kr20150173085b1,,,EH01 EH08 EH09 LA05,EH10,0.932,0.642,102.59,1
missing_label(누락 후보),kr20140156930b1,,,EH10 LA05,EH08,0.943,0.723,87.25,1
missing_label(누락 후보),kr20200111488a,,,EG02 EG08,EG09,0.991,0.832,63.67,1
missing_label(누락 후보),kr20120005693a,,,EG06 EG09,EG08,0.951,0.712,63.67,1
missing_label(누락 후보),kr20020063404b1,,,EG08,EG09,0.92,0.729,63.67,1
missing_label(누락 후보),kr20137007482b1,,,EG08,EG09,0.907,0.54,63.67,1
missing_label(누락 후보),kr20010068937b1,,,EA13,EE05,0.971,0.768,62.05,0
missing_label(누락 후보),kr20120089568a,,,EA13,EE05,0.991,0.826,62.05,0
missing_label(누락 후보),kr20140058296b1,,,EA13,EE05,0.941,0.856,62.05,0
missing_label(누락 후보),kr20180066295a,,,EE05,EA13,0.955,0.675,62.05,0
missing_label(누락 후보),kr20120074998b1,,,EA13,EE05,0.939,0.667,62.05,0
missing_label(누락 후보),kr20157004733a,,,EA13,EE05,0.992,0.88,62.05,0
missing_label(누락 후보),kr20207020720b1,,,EG05,EG06,0.969,0.794,60.14,1
missing_label(누락 후보),kr19890014399b1,,,EG06,EG05,0.943,0.815,60.14,1
missing_label(누락 후보),kr20070090216b1,,,EG06,EG05,0.931,0.846,60.14,1
missing_label(누락 후보),kr20117016736b1,,,EG06 EG08 NB03,EG05,0.943,0.66,60.14,1
missing_label(누락 후보),kr20177033636a,,,EG09,EG04,0.974,0.584,56.94,1
missing_label(누락 후보),jp2007140345a,,,EG01,EG02,0.994,0.82,51.13,1
missing_label(누락 후보),jp2015517287a,,,EG01,EG02,0.979,0.663,51.13,1
missing_label(누락 후보),jp2008182702a,,,EG02,EG01,0.974,0.723,51.13,1
missing_label(누락 후보),kr20210004491a,,,EG03,EG09,0.953,0.724,50.48,1
missing_label(누락 후보),kr20100033126a,,,EG03,EG09,0.917,0.727,50.48,1
missing_label(누락 후보),kr20100034262b1,,,EG08,EG04,0.966,0.8,49.79,1
missing_label(누락 후보),kr20140179048a,,,LB20 ND05,ND06,0.988,0.86,48.64,1
missing_label(누락 후보),kr20200117464b1,,,ND04 ND06,ND05,0.976,0.731,48.64,1
missing_label(누락 후보),jp2010135423a,,,ND05,ND06,0.979,0.878,48.64,1
missing_label(누락 후보),jp2016170918b2,,,ND05,ND06,0.988,0.939,48.64,1
missing_label(누락 후보),jp2020073156a,,,ND06,ND05,0.927,0.707,48.64,1
missing_label(누락 후보),kr20150060051b1,,,OA01,OA03,0.964,0.688,47.98,1
missing_label(누락 후보),kr20180038545a,,,LA03 OA01,OA03,0.966,0.704,47.98,1
missing_label(누락 후보),kr20190178424a,,,OA01,OA03,0.962,0.868,47.98,1
missing_label(누락 후보),kr20120015038b1,,,OA03,OA01,0.95,0.858,47.98,1
missing_label(누락 후보),kr20120045134b1,,,EG08,EG03,0.945,0.825,46.72,1
missing_label(누락 후보),kr20080116934a,,,EA14,EE13,0.974,0.629,46.15,0
missing_label(누락 후보),kr20120003879b1,,,EA14,EE13,0.999,0.948,46.15,0
missing_label(누락 후보),kr20170092451b1,,,EA14 ND07,EE13,0.903,0.727,46.15,0
missing_label(누락 후보),kr20160008019a,,,EE13,EA14,0.96,0.506,46.15,0
missing_label(누락 후보),kr20210036417a,,,EE13,EA14,0.98,0.854,46.15,0
missing_label(누락 후보),kr20150034577b1,,,EA14,EE13,0.966,0.925,46.15,0
missing_label(누락 후보),kr20160076271b1,,,EH12 EH15,EH14,0.936,0.797,45.41,1
missing_label(누락 후보),jp2012173504a,,,EG01 EG02,EG04,0.911,0.805,45.39,1
missing_label(누락 후보),kr20180136795b1,,,EA14 EE13 EI03 ND07,ND02,0.946,0.722,43.72,1
missing_label(누락 후보),kr20190021162b1,,,EE13 ND07,ND02,0.995,0.773,43.72,1
missing_label(누락 후보),jp2002549994a1,,,ND07,ND02,0.903,0.803,43.72,1
missing_label(누락 후보),jp2017000377b2,,,ND07,ND02,0.939,0.781,43.72,1
missing_label(누락 후보),kr20210124660b1,,,ND07,ND02,0.98,0.918,43.72,1
